paper_id,title,year,journal,doi,method_class_key,method_class_label,method_class,classification_source,classification_confidence,wcm_completeness_key,wcm_completeness_label,wcm_completeness_source,wcm_completeness_confidence,organism,organism_group,paper_status,pdf_status,pdf_file,landing_page_url,remote_status
WCM-001,Bringing the genetically minimal cell to life on a computer in 4D,2026,Cell,10.1016/j.cell.2026.02.009,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,complete,Complete WCM,manual_override,1.0,JCVI-syn3A / minimal cell,JCVI minimal cell,review_needed,landing_page_only,WCM-001_2026_Bringing_the_genetically_minimal_cell_to_life_on_a_computer_in_4D.pdf,https://doi.org/10.1016/j.cell.2026.02.009,zotero_upload_pending
WCM-002,A Whole-Cell Computational Model Predicts Phenotype from Genotype,2012,Cell,10.1016/j.cell.2012.05.044,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,complete,Complete WCM,manual_override,1.0,Mycoplasma genitalium,Mycoplasma / Mollicutes,metadata_only,landing_page_only,,https://doi.org/10.1016/j.cell.2012.05.044,
WCM-003,Fundamental behaviors emerge from simulations of a living minimal cell,2022,Cell,10.1016/j.cell.2021.12.025,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,complete,Complete WCM,manual_override,1.0,JCVI-syn3A / minimal cell,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1016/j.cell.2021.12.025,
WCM-004,"Metabolism, cell growth and the bacterial cell cycle",2009,Nature Reviews Microbiology,10.1038/nrmicro2202,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General bacteria,General bacteria,metadata_only,landing_page_only,,https://doi.org/10.1038/nrmicro2202,
WCM-005,Integrating cellular and molecular structures and dynamics into whole-cell models,2022,Current Opinion in Structural Biology,10.1016/j.sbi.2022.102392,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,metadata_only,landing_page_only,,https://doi.org/10.1016/j.sbi.2022.102392,
WCM-006,How to build the virtual cell with artificial intelligence: Priorities and opportunities,2024,Cell,10.1016/j.cell.2024.11.015,ml,Machine Learning Model,Machine Learning Model,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,review_needed,landing_page_only,WCM-006_2024_How_to_build_the_virtual_cell_with_artificial_intelligence_Priorities_and_oppor.pdf,https://doi.org/10.1016/j.cell.2024.11.015,zotero_upload_pending
WCM-007,Simultaneous cross-evaluation of heterogeneous E. coli datasets via mechanistic simulation,2020,Science,10.1126/science.aav3751,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1126/science.aav3751,
WCM-008,Cross-evaluation of E. coli’s operon structures via a whole-cell model suggests alternative cellular benefits for low- versus high-expressing operons,2024,Cell Systems,10.1016/j.cels.2024.02.002,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1016/j.cels.2024.02.002,
WCM-009,Toward a Whole-Cell Model of Ribosome Biogenesis: Kinetic Modeling of SSU Assembly,2015,Biophysical Journal,10.1016/j.bpj.2015.07.030,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1016/j.bpj.2015.07.030,
WCM-010,Ribosome biogenesis in replicating cells: Integration of experiment and theory,2016,Biopolymers,10.1002/bip.22892,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Escherichia coli,Escherichia coli,metadata_only,landing_page_only,,https://doi.org/10.1002/bip.22892,
WCM-011,Creation of a Bacterial Cell Controlled by a Chemically Synthesized Genome,2010,Science,10.1126/science.1190719,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Synthetic Mycoplasma cell,Mycoplasma / Mollicutes,metadata_only,landing_page_only,,https://doi.org/10.1126/science.1190719,
WCM-012,Design and synthesis of a minimal bacterial genome,2016,Science,10.1126/science.aad6253,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI minimal genome,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1126/science.aad6253,
WCM-013,Essential metabolism for a minimal cell,2019,eLife,10.7554/elife.36842,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.7554/elife.36842,
WCM-014,Kinetic Modeling of the Genetic Information Processes in a Minimal Cell,2019,Frontiers in Molecular Biosciences,10.3389/fmolb.2019.00130,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,review_needed,landing_page_only,WCM-014_2019_Kinetic_Modeling_of_the_Genetic_Information_Processes_in_a_Minimal_Cell.pdf,https://doi.org/10.3389/fmolb.2019.00130,zotero_upload_pending
WCM-015,Generating Chromosome Geometries in a Minimal Cell From Cryo-Electron Tomograms and Chromosome Conformation Capture Maps,2021,Frontiers in Molecular Biosciences,10.3389/fmolb.2021.644133,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,review_needed,landing_page_only,WCM-015_2021_Generating_Chromosome_Geometries_in_a_Minimal_Cell_From_Cryo-Electron_Tomograms.pdf,https://doi.org/10.3389/fmolb.2021.644133,zotero_upload_pending
WCM-016,Dynamics of chromosome organization in a minimal bacterial cell,2023,Frontiers in Cell and Developmental Biology,10.3389/fcell.2023.1214962,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,review_needed,landing_page_only,WCM-016_2023_Dynamics_of_chromosome_organization_in_a_minimal_bacterial_cell.pdf,https://doi.org/10.3389/fcell.2023.1214962,zotero_upload_pending
WCM-017,Toward the Complete Functional Characterization of a Minimal Bacterial Proteome,2022,The Journal of Physical Chemistry B,10.1021/acs.jpcb.2c04188,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1021/acs.jpcb.2c04188,
WCM-018,Genetic requirements for cell division in a genomically minimal cell,2021,Cell,10.1016/j.cell.2021.03.008,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1016/j.cell.2021.03.008,
WCM-019,Metabolite Damage and Damage Control in a Minimal Genome,2022,mBio,10.1128/mbio.01630-22,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,review_needed,landing_page_only,WCM-019_2022_Metabolite_Damage_and_Damage_Control_in_a_Minimal_Genome.pdf,https://doi.org/10.1128/mbio.01630-22,zotero_upload_pending
WCM-020,Adaptive evolution of a minimal organism with a synthetic genome,2023,iScience,10.1016/j.isci.2023.107500,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI minimal organism,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1016/j.isci.2023.107500,
WCM-021,Evolution of a minimal cell,2023,Nature,10.1038/s41586-023-06288-x,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI minimal organism,JCVI minimal cell,review_needed,landing_page_only,WCM-021_2023_Evolution_of_a_minimal_cell.pdf,https://doi.org/10.1038/s41586-023-06288-x,zotero_upload_pending
WCM-022,A tuneable minimal cell membrane reveals that two lipid species suffice for life,2024,Nature Communications,10.1038/s41467-024-53975-y,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3B,JCVI minimal cell,review_needed,landing_page_only,WCM-022_2024_A_tuneable_minimal_cell_membrane_reveals_that_two_lipid_species_suffice_for_life.pdf,https://doi.org/10.1038/s41467-024-53975-y,zotero_upload_pending
WCM-023,Integrative modeling of JCVI-Syn3A nucleoids with a modular approach,2023,Current Research in Structural Biology,10.1016/j.crstbi.2023.100121,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,JCVI-syn3A / minimal cell,JCVI minimal cell,metadata_only,landing_page_only,,https://doi.org/10.1016/j.crstbi.2023.100121,
WCM-024,Integrative characterization of the near‐minimal bacterium Mesoplasma florum,2020,Molecular Systems Biology,10.15252/msb.20209844,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Mesoplasma florum,Mycoplasma / Mollicutes,review_needed,landing_page_only,WCM-024_2020_Integrative_characterization_of_the_near_minimal_bacterium_Mesoplasma_florum.pdf,https://doi.org/10.15252/msb.20209844,zotero_upload_pending
WCM-025,Lattice microbes: High‐performance stochastic simulation method for the reaction‐diffusion master equation,2012,Journal of Computational Chemistry,10.1002/jcc.23130,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General reaction-diffusion,Reaction-diffusion methods,metadata_only,landing_page_only,,https://doi.org/10.1002/jcc.23130,
WCM-026,Simulation of reaction diffusion processes over biologically relevant size and time scales using multi-GPU workstations,2014,Parallel Computing,10.1016/j.parco.2014.03.009,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General reaction-diffusion,Reaction-diffusion methods,metadata_only,landing_page_only,,https://doi.org/10.1016/j.parco.2014.03.009,
WCM-027,Molecular dynamics simulation of an entire cell,2023,Frontiers in Chemistry,10.3389/fchem.2023.1106495,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Whole-cell general,Whole-cell general,review_needed,landing_page_only,WCM-027_2023_Molecular_dynamics_simulation_of_an_entire_cell.pdf,https://doi.org/10.3389/fchem.2023.1106495,zotero_upload_pending
WCM-028,Building Structural Models of a Whole Mycoplasma Cell,2021,Journal of Molecular Biology,10.1016/j.jmb.2021.167351,hybrid,Hybrid architectures,Hybrid architectures,manual_override,1.0,related,Related Model,heuristic,0.84,Mycoplasma whole-cell structure,Mycoplasma / Mollicutes,metadata_only,landing_page_only,,https://doi.org/10.1016/j.jmb.2021.167351,
WCM-029,In-cell architecture of an actively transcribing-translating expressome,2020,Science,10.1126/science.abb3758,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Mycoplasma pneumoniae,Mycoplasma / Mollicutes,metadata_only,landing_page_only,,https://doi.org/10.1126/science.abb3758,
WCM-030,Visualizing translation dynamics at atomic detail inside a bacterial cell,2022,Nature,10.1038/s41586-022-05255-2,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,Bacterial cell general,General bacteria,review_needed,landing_page_only,WCM-030_2022_Visualizing_translation_dynamics_at_atomic_detail_inside_a_bacterial_cell.pdf,https://doi.org/10.1038/s41586-022-05255-2,zotero_upload_pending
WCM-031,Entropy as the driver of chromosome segregation,2010,Nature Reviews Microbiology,10.1038/nrmicro2391,mechanistic,Mechanistic models,Mechanistic models,manual_override,1.0,related,Related Model,heuristic,0.84,General bacteria,General bacteria,review_needed,landing_page_only,WCM-031_2010_Entropy_as_the_driver_of_chromosome_segregation.pdf,https://doi.org/10.1038/nrmicro2391,zotero_upload_pending
