paper_id,wcm_completeness_key,wcm_completeness_label,wcm_completeness_source,wcm_completeness_confidence,rationale
WCM-001,complete,Complete WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
WCM-002,complete,Complete WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
WCM-003,complete,Complete WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
WCM-004,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-005,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-006,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-007,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-008,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-009,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-010,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-011,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-012,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-013,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-014,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-015,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-016,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-017,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-018,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-019,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-020,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-021,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-022,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-023,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-024,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-025,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-026,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-027,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-028,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-029,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-030,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-031,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-032,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-033,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-034,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-035,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-036,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-037,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-038,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-039,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-040,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-041,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-042,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-043,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-044,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-045,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-046,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-047,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-048,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-049,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-050,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-051,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-052,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-053,related,Related Model,heuristic,0.84,"Defaulted to related model because only the curated full WCMs are treated as complete, with yeast tracked separately as partial."
WCM-054,partial,Partial WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
WCM-055,complete,Complete WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
WCM-056,partial,Partial WCM,manual_override,1.0,Curated completeness assignment for the existing corpus.
